PROT	control.1	control.2	control.3	control.4	control.5	control.6	control.7	control.8	control.9	control.10	mutant.1.A	mutant.1.B	mutant.2	mutant.3
p1	34	48	103	29	13	18	19	11	18	28	31	53	65	37
p2	23	24	48	25	22	31	27	23	20	15	10	17	15	15
p3	29	36	61	26	12	7	12	6	7	16	16	16	23	18
p4	24	30	53	24	12	14	10	10	11	20	25	27	41	54
p5	23	31	64	25	11	9	8	7	7	16	19	18	21	9
p6	0	45	102	27	0	0	0	0	0	26	29	50	55	33
p7	21	26	51	25	4	10	10	6	9	14	22	29	33	30
p8	16	19	45	17	9	10	10	10	8	12	23	38	27	14
p9	17	17	41	20	12	12	9	10	9	5	8	10	9	9
p10	11	14	30	11	13	10	11	7	9	8	2	5	9	2
p11	15	15	29	14	6	8	8	7	6	7	6	10	10	13
p12	12	11	30	8	11	8	8	7	7	7	3	4	6	7
p13	12	13	24	7	8	7	7	4	7	7	0	4	7	3
p14	11	13	22	14	6	5	2	4	3	8	16	22	22	22
p15	9	12	31	13	3	3	3	0	3	3	17	15	19	5
p16	11	12	20	6	5	4	4	0	4	7	4	14	10	8
p17	8	8	17	7	4	5	4	4	4	7	5	8	8	10
p18	4	3	11	6	9	8	7	6	5	3	5	6	7	0
p19	8	8	13	6	3	3	4	2	3	4	4	9	10	19
p20	7	10	13	10	2	0	3	0	3	6	11	19	15	9
p21	7	12	13	10	0	0	2	0	0	6	5	5	6	4
p22	5	5	11	6	4	4	3	4	3	3	4	6	9	6
p23	5	11	18	8	0	0	0	0	2	4	13	16	15	19
p24	5	5	15	5	3	2	0	3	3	6	8	15	9	7
p25	6	0	13	9	2	0	5	3	3	6	9	12	8	3
p26	7	8	13	8	4	0	2	0	0	4	9	14	11	14
p27	6	8	16	10	2	0	2	0	0	2	12	14	9	6
p28	3	3	9	4	3	4	7	3	3	5	2	5	3	7
p29	2	0	7	2	2	6	9	6	8	2	0	0	0	4
p30	3	3	8	3	5	5	3	5	5	3	4	2	3	3
p31	4	9	14	8	0	0	2	0	2	2	7	9	11	0
p32	5	10	16	7	0	0	0	0	0	3	11	18	25	26
p33	6	0	20	6	2	0	0	2	2	2	12	6	12	9
p34	8	7	16	4	0	3	0	0	0	2	10	7	8	6
p35	7	9	13	7	0	0	0	0	0	4	7	10	9	6
p36	7	7	14	8	0	2	0	2	0	0	0	4	6	3
p37	0	2	4	3	2	5	4	6	5	8	3	3	4	2
p38	0	8	14	8	0	4	0	3	0	2	6	5	2	2
p39	4	6	19	3	0	0	0	0	0	5	11	10	9	2
p40	5	7	11	10	0	0	0	0	0	2	3	0	0	0
p41	4	4	10	4	0	3	4	3	3	0	7	9	9	0
p42	2	4	14	0	4	4	3	2	2	0	5	5	0	2
p43	4	7	10	7	0	0	2	0	2	3	6	10	12	10
p44	2	4	17	7	0	2	0	0	2	0	4	9	14	11
p45	4	5	12	8	0	0	0	0	0	4	9	12	11	5
p46	4	7	12	5	0	0	0	0	0	4	13	13	12	5
p47	4	5	7	6	0	2	2	2	2	2	7	9	12	15
p48	0	4	14	7	0	2	2	0	0	3	4	3	3	0
p49	2	4	9	5	0	2	2	2	2	3	3	5	5	0
p50	2	7	9	6	0	0	0	0	0	7	15	14	9	4
p51	6	9	11	0	0	0	0	0	0	2	6	5	8	2
p52	0	2	8	3	2	3	2	3	3	2	0	0	0	0
p53	4	2	10	2	0	3	4	0	3	0	3	3	0	0
p54	0	6	12	7	0	2	0	0	0	0	8	3	2	5
p55	4	4	7	6	0	2	2	2	0	0	9	8	12	11
p56	0	5	7	3	2	3	4	0	3	0	0	0	0	0
p57	7	9	0	11	0	0	0	0	0	0	15	12	18	14
p58	3	2	7	2	2	2	2	3	3	0	0	0	0	0
p59	7	5	8	4	0	0	2	0	0	0	3	2	2	2
p60	11	6	0	0	0	0	0	0	0	9	4	9	9	3
p61	2	3	7	3	0	2	0	2	2	3	0	2	0	0
p62	4	0	7	0	0	3	3	3	3	0	2	0	0	0
p63	4	4	8	7	0	0	0	0	0	0	0	0	0	0
p64	3	7	8	5	0	0	0	0	0	0	3	6	4	4
p65	0	4	9	5	0	0	0	0	0	4	0	4	7	5
p66	3	3	8	2	0	0	2	0	2	2	2	2	2	0
p67	4	5	7	4	0	0	0	0	0	2	0	4	2	0
p68	5	6	6	5	0	0	0	0	0	0	13	11	21	15
p69	5	2	11	3	0	0	0	0	0	0	5	5	3	0
p70	3	5	6	5	0	0	0	0	0	2	3	5	6	5
p71	3	4	8	6	0	0	0	0	0	0	8	9	12	9
p72	3	4	8	5	0	0	0	0	0	0	4	4	5	8
p73	4	4	4	5	0	0	0	0	0	3	4	6	4	5
p74	0	0	0	0	4	4	4	4	4	0	2	3	2	0
p75	3	2	9	5	0	0	0	0	0	0	5	5	5	4
p76	4	3	0	0	0	3	5	2	2	0	8	7	7	7
p77	3	5	7	4	0	0	0	0	0	0	3	5	6	6
p78	0	4	6	5	0	0	0	0	0	4	8	13	14	4
p79	0	5	7	4	0	0	0	0	0	3	6	11	10	8
p80	3	2	6	5	0	0	0	0	0	2	3	2	0	0
p81	0	2	6	3	2	2	0	0	2	0	2	0	0	4
p82	3	3	8	3	0	0	0	0	0	0	2	4	5	4
p83	2	4	9	2	0	0	0	0	0	0	5	4	6	6
p84	0	11	0	0	0	0	0	0	0	6	0	0	0	0
p85	0	4	6	6	0	0	0	0	0	0	6	8	3	4
p86	0	0	0	0	3	3	0	2	0	8	0	0	0	0
p87	0	0	8	8	0	0	0	0	0	0	8	11	0	0
p88	2	3	6	3	0	0	0	0	0	2	4	7	5	7
p89	3	0	4	2	0	2	2	2	0	0	0	0	2	0
p90	0	3	4	2	0	0	2	2	2	0	0	0	0	2
p91	3	6	0	4	0	0	0	0	0	2	10	5	8	10
p92	2	4	6	3	0	0	0	0	0	0	4	4	11	7
p93	0	4	7	4	0	0	0	0	0	0	6	9	5	5
p94	3	3	4	4	0	0	0	0	0	0	2	4	2	6
p95	2	2	6	4	0	0	0	0	0	0	2	0	0	2
p96	0	0	0	3	0	3	2	2	3	0	0	0	0	0
p97	2	4	5	2	0	0	0	0	0	0	6	11	0	6
p98	2	2	6	3	0	0	0	0	0	0	2	2	3	2
p99	2	3	5	3	0	0	0	0	0	0	8	7	5	12
p100	0	0	0	4	2	2	0	0	0	5	0	0	3	0
p101	0	2	7	4	0	0	0	0	0	0	2	2	4	3
